epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21817,3.29687,4.09497,3.08567,0.0069,0.37037,0.00878,0.0044,1.46615,3.09453,1.19046,0.0001,0.0001,0.0001
2,3.84176,2.89475,3.94247,2.70906,0.00471,0.25309,0.01583,0.00459,2.10947,3.35535,1.55165,0.000219782,0.000219782,0.000219782
3,5.62978,2.09499,3.38838,1.98191,0.00218,0.11728,0.01757,0.00502,2.94712,3.80146,2.19772,0.000339327,0.000339327,0.000339327
4,7.37467,1.75959,2.84166,1.60254,0.00172,0.09259,0.00332,0.00075,3.14763,3.94118,2.42013,0.000458634,0.000458634,0.000458634
5,9.05772,1.60342,2.54989,1.48568,0.00172,0.09259,0.00149,0.00039,3.28286,3.96569,2.72859,0.000577703,0.000577703,0.000577703
6,10.6815,1.43347,2.20347,1.37306,0.00207,0.11111,0.00154,0.00045,3.38095,3.99069,2.93058,0.000696535,0.000696535,0.000696535
7,12.3291,1.53155,2.23027,1.47824,0.01959,0.00617,0.00223,0.00056,3.51326,4.03449,3.04956,0.000815129,0.000815129,0.000815129
8,14.0312,1.46692,2.17339,1.40856,0.00253,0.1358,0.00146,0.0004,3.59024,4.24569,3.38123,0.000933486,0.000933486,0.000933486
9,15.6999,1.39039,2.07405,1.38665,0.0069,0.04321,0.00134,0.00026,3.65147,4.38094,3.59694,0.0010516,0.0010516,0.0010516
10,17.2765,1.30023,1.88651,1.31082,0.00922,0.00617,0.00129,0.00028,3.80875,4.53769,3.70983,0.00116949,0.00116949,0.00116949
11,18.8874,1.26035,1.72352,1.30707,0.08952,0.00617,0.0017,0.00033,3.95014,4.43299,3.69767,0.00128713,0.00128713,0.00128713
12,20.4956,1.27614,1.72344,1.29838,0.03174,0.01235,0.00242,0.00039,3.87269,4.31643,3.53169,0.00140454,0.00140454,0.00140454
13,22.0711,1.30333,1.55937,1.32124,0.00775,0.00617,0.00091,0.0002,3.85472,4.58118,3.814,0.0015217,0.0015217,0.0015217
14,23.6562,1.27884,1.56097,1.26632,0.42867,0.00617,0.00348,0.00049,3.73201,4.50693,3.65603,0.00163864,0.00163864,0.00163864
15,25.2141,1.30664,1.61624,1.3064,0.00149,0.08025,0.00121,0.00021,3.75418,4.39925,3.62963,0.00175533,0.00175533,0.00175533
16,26.7862,1.32354,1.46448,1.29363,0.04369,0.01235,0.00276,0.00056,3.71808,4.57772,3.55152,0.00187178,0.00187178,0.00187178
17,28.3572,1.3224,1.47064,1.32271,0.00869,0.01235,0.00135,0.00028,3.69659,4.90593,3.69146,0.00196832,0.00196832,0.00196832
18,29.9593,1.32657,1.41651,1.29044,0.00676,0.00617,0.00084,0.00027,3.64166,5.02942,3.55471,0.00196634,0.00196634,0.00196634
19,31.4996,1.19534,1.35151,1.24693,0.01863,0.01235,0.00159,0.00033,3.74893,4.87443,3.53225,0.00196436,0.00196436,0.00196436
20,33.1027,1.1488,1.37886,1.2088,0.00392,0.01235,0.00169,0.00035,3.74301,5.1255,3.41721,0.00196238,0.00196238,0.00196238
21,34.6489,1.10386,1.28109,1.20871,0.00184,0.09877,0.00106,0.00031,3.79686,4.36423,3.37716,0.0019604,0.0019604,0.0019604
22,36.2436,1.11383,1.29879,1.19659,0.01463,0.01852,0.00093,0.00023,4.03252,4.52683,3.71924,0.00195842,0.00195842,0.00195842
23,37.8142,0.98718,1.08578,1.09846,0.02803,0.01235,0.00114,0.00017,4.12666,4.57273,3.92366,0.00195644,0.00195644,0.00195644
24,39.3729,1.19016,1.33694,1.23399,0.01811,0.01235,0.00143,0.00039,3.90017,5.15466,3.7621,0.00195446,0.00195446,0.00195446
25,40.9249,1.21223,1.25657,1.22137,0.02526,0.01852,0.00206,0.00044,3.93917,5.34303,3.72133,0.00195248,0.00195248,0.00195248
26,42.5266,1.17677,1.16906,1.2247,0.0307,0.00617,0.00069,0.00017,4.00704,6.01878,3.74622,0.0019505,0.0019505,0.0019505
27,44.093,1.03807,1.16891,1.13271,0.00368,0.00617,0.00039,8e-05,4.01329,5.99806,3.63776,0.00194852,0.00194852,0.00194852
28,45.7311,1.06913,1.10844,1.1927,0.02146,0.00617,0.00103,0.0002,3.89524,4.62809,3.35696,0.00194654,0.00194654,0.00194654
29,47.287,1.06089,1.0306,1.13564,0.02604,0.00617,0.00082,0.00022,4.09268,5.17761,3.69385,0.00194456,0.00194456,0.00194456
30,48.9534,0.99599,1.02433,1.12472,0.00115,0.06173,0.00064,0.00018,4.28542,5.5221,3.94345,0.00194258,0.00194258,0.00194258
31,50.4982,1.06923,1.01219,1.15925,0.00161,0.08642,0.00089,0.00017,4.29041,5.62621,4.02953,0.0019406,0.0019406,0.0019406
32,52.0659,1.01529,1.00417,1.13518,0.0136,0.00617,0.00095,0.0002,4.19647,5.28755,3.69567,0.00193862,0.00193862,0.00193862
33,53.593,1.01243,1.05611,1.13574,0.01661,0.00617,0.00078,0.00024,4.21893,5.86816,3.72421,0.00193664,0.00193664,0.00193664
34,55.2126,0.93203,0.91263,1.09785,0.01516,0.01235,0.00126,0.00024,4.19421,4.4742,3.55766,0.00193466,0.00193466,0.00193466
